Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
City of London,00AA,E09000001,8100,8,76.9,15.2,41.3,39,3.2,2538.1,21.4,38.4,84.3,88.6,140,57,79.6,765000,309,63620,0.4,0.2,1.4,98,42.3,16.5,35.9,6.7,656.4,85.3,0.4,18.6,0.4,7.9,5.3
Barking and Dagenham - Abbey,00ABFX,E05000026,14750,26,69,5,29.5,29,1.3,10500,71.9,97.6,80.2,83.9,157.3,2,60.3,173000,151,33920,3.9,7.2,22.6,66.3,32.7,26.7,38.6,16.4,138.1,42.2,1.4,21.9,0.5,6,0.8
Barking and Dagenham - Alibon,00ABFY,E05000027,10600,25.7,64.3,10,33.8,33,1.4,7428.6,29.9,83.3,77.2,80.6,139.8,1,63.1,215000,119,32470,3.8,18.2,63.8,14.2,45.1,36.8,15.9,31.2,73.6,27.3,0.7,20.6,0.8,3.1,1
Barking and Dagenham - Becontree,00ABFZ,E05000028,12700,25.4,65.9,8.7,33,32,1.3,9269.2,41.2,101.1,79,79.3,130.1,3,61.2,210000,191,33000,4.2,24.7,52,19.1,46.7,29.4,20.1,28,79.9,27.6,1.2,1.9,0.9,2.9,1.6
Barking and Dagenham - Chadwell Heath,00ABGA,E05000029,10400,24.3,61.5,14.2,36.2,34,3.4,2985.3,37.9,73.6,79.2,82.2,139.1,6,63.6,240500,108,33920,3.8,29.6,32.2,34.5,54,32,12.4,29.1,76.1,24.6,1.3,56,0.9,2.3,1.2
Barking and Dagenham - Eastbrook,00ABGB,E05000030,10750,20.1,65.7,14.2,37.7,36,3.5,3028.6,24.8,73.2,77.1,81.1,147.8,2,68.2,240000,129,37400,3.2,32.6,45.5,18.4,67.6,20,11.2,29.9,66.7,24.5,0.8,50.4,1.1,2.3,1.6
Barking and Dagenham - Eastbury,00ABGC,E05000031,11900,25.2,65.2,9.6,33.4,32,1.4,8357.1,41.7,87.6,78.9,84.9,113,5,61.5,220000,105,32870,5,21,52.5,21.5,44,37.4,17.3,28.9,82.2,24.9,0.6,17.1,0.8,2.7,1.5
Barking and Dagenham - Gascoigne,00ABGD,E05000032,15850,32,62.6,5.4,29,29,1.1,12772.7,60.4,92.9,75.5,81.1,136.1,2,56.4,200000,87,29480,2.2,6.8,19.5,71.4,23.7,54,18.3,25.5,75.8,20.3,0.9,20.8,0.5,3.2,1.4
Barking and Dagenham - Goresbrook,00ABGE,E05000033,11450,25.9,63.2,10.9,34.1,33,1.3,8692.3,33.3,86.2,77.5,82.8,136.6,1,63.6,205000,109,33250,4.8,17.4,62.5,15.3,43.1,37.3,15.8,30,74.8,25.8,0.9,14.1,0.8,2.5,1.7
Barking and Dagenham - Heath,00ABGF,E05000034,11150,26.2,62.3,11.5,34.4,32,2,5475,32.3,88.4,76.5,80.1,188,3,61.4,215000,105,31340,2.9,18.9,41.9,36.4,41.6,45.3,11.3,32.1,83.7,24.2,2,36.3,0.7,2.7,1.6
Barking and Dagenham - Longbridge,00ABGG,E05000035,11900,21.7,66,12.2,35.2,32,1.6,7281.3,57.4,81.1,78.7,85.7,118.4,2,65.2,312750,120,40570,3.9,23.1,50.4,22.5,70,13.1,15.3,22.7,57,16.6,0.4,28.3,1.1,3.1,1.1
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,10550,26.9,62.1,11,33.9,33,1.9,5473.7,31.2,90.2,76.8,83.3,136.3,1,61.9,212000,95,31530,4.8,21.8,58,15.5,43.8,38.6,15.6,32.1,67.9,24.4,0.7,44.8,0.8,2.5,1.6
Barking and Dagenham - Parsloes,00ABGJ,E05000037,10050,25.2,63.7,11.1,34.3,33,1.2,8250,30.9,76.9,76.1,83.5,144.3,2,61.5,213000,115,31860,4.1,19.8,63.4,12.6,47.2,36.4,14.1,31.8,56.8,19.7,0.9,17.4,0.8,2.7,1.2
Barking and Dagenham - River,00ABGK,E05000038,11950,26.5,63.6,9.9,33.4,32,3.6,3166.7,38.4,83.1,75,78.2,137.9,1,64.2,205500,132,33490,4.7,19,61.9,14.3,51.9,25.7,20.6,29.9,85,29.3,1.3,20.5,0.8,3,1.4
Barking and Dagenham - Thames,00ABGL,E05000039,18950,32.5,62.5,5,28.7,28,7.9,1867.1,54.9,62.9,76.2,84,140.1,3,60.5,219000,174,32580,3.7,15.7,35.3,45.2,35.4,44.4,17.5,24.1,95.6,19.8,1.7,43.8,0.7,2.1,2.1
Barking and Dagenham - Valence,00ABGM,E05000040,10250,25.5,63.2,11.3,34.8,34,1.3,7692.3,31.5,91.7,76.5,80.8,133.7,3,63.1,215000,94,33200,4.3,21.5,60.9,13.3,47.3,37.4,13.8,32.1,68.3,18.3,0.2,11.8,0.8,3.2,1.5
Barking and Dagenham - Village,00ABGN,E05000041,11050,24.8,64.1,11.1,34.5,33,2.1,5166.7,34.8,92,75.9,80.9,155.1,2,61.7,202500,120,31960,4.6,20.3,26.2,48.9,40.3,39.9,17.4,30.3,90.8,29.8,1.1,47,0.8,2.7,2.4
Barking and Dagenham - Whalebone,00ABGP,E05000042,11150,23.7,64.5,11.8,35.3,34,1.6,6781.3,44,84.8,79.9,87.2,128.7,1,67.5,235000,144,37180,4.1,18.4,49.7,27.8,63.7,12.3,22.3,24,72.4,20.8,0.5,16,1,2.9,1
Barnet - Brunswick Park,00ACFX,E05000043,17550,19.5,64.7,15.9,38.9,39,3.2,5218.8,31.6,51,82.3,84.8,97.5,0,71.4,435000,193,39800,6,47.6,27.7,18.8,75.4,9,13.2,17.4,49.4,12,0.1,28,1.3,2.9,1
Barnet - Burnt Oak,00ACFY,E05000044,19650,24.3,66.5,9.1,33.7,32,2.1,8857.1,53.5,74.3,76,81.4,152,8,63.7,250000,153,29400,3.8,19.8,38.3,38.1,38,35.5,22.1,23.6,68.5,27,0.7,18.9,0.8,3.6,0.8
Barnet - Childs Hill,00ACFZ,E05000045,21100,19.5,67.9,12.6,36.1,33,3.1,6516.1,38.9,59.6,79.4,82.6,116,6,67.9,507500,230,38960,9.3,24.5,10.2,56,45,12.5,39.7,13.7,90.5,22.3,0.1,15.1,0.8,4.5,2.5
Barnet - Colindale,00ACGA,E05000046,26600,22.8,69.7,7.5,32.1,30,2.6,8250,59.9,66.5,81.8,86,130.9,0,61.9,302500,413,30170,2.6,20.8,16.7,60,36.3,34.3,26,18,58.9,16.9,0.2,19.8,0.8,2.5,1
Barnet - Coppetts,00ACGB,E05000047,18050,19.5,69.4,11.1,36.3,35,2.7,6425.9,35,56.6,79.1,81.9,108.3,5,71.5,335000,258,38090,4.6,22.1,20.3,53,56.8,13.4,26.7,15,75.6,17.1,0.5,40.3,1,2.9,2
Barnet - East Barnet,00ACGC,E05000048,17100,20.6,64.6,14.8,38.3,38,3.8,4302.6,23.4,65.2,81,85.2,93.3,2,71.5,368000,252,39870,10.1,37.2,17.8,34.8,67.9,9.8,20.3,17.1,44,13.9,0.1,34.8,1.2,2.8,0.9
Barnet - East Finchley,00ACGD,E05000049,16850,19.2,67.1,13.6,37.2,36,2.5,6440,28.2,64.3,82.2,84.9,102.9,1,74.9,437500,172,41160,2.9,14.4,25.7,56.9,50.2,22.2,25.5,14.1,47.5,11.3,0.2,37.8,0.8,2.6,3.1
Barnet - Edgware,00ACGE,E05000050,17600,22.9,61.6,15.5,37.1,35,5.6,3017.9,39.2,72.7,84,87,116.4,2,69,455000,277,38410,19,37,7.2,36.7,60.4,15.8,20.9,17,71.4,17.2,0.2,54,1.2,3,0.7
Barnet - Finchley Church End,00ACGF,E05000051,16800,19,64.3,16.6,39.1,37,2.7,5925.9,33.1,56.9,84.2,88.4,85.7,5,72.6,528000,244,45030,13.7,26,5.2,55.2,62.3,4.9,30.4,12.3,52,9.2,0.2,13.7,1.2,2.9,1.4
Barnet - Garden Suburb,00ACGG,E05000052,16950,20.3,61.9,17.7,39.1,38,4.7,3436.2,21.4,50.6,84.9,89,86.6,7,73.1,825000,263,53090,18.4,30.1,12.8,38.8,66.1,4.9,26.7,8.2,65.1,11,0.1,24.2,1.2,2.7,2.5
Barnet - Golders Green,00ACGH,E05000053,24950,25.6,64.3,10.1,33,30,3,7150,34.2,63.2,80.4,82.9,107.1,6,66.7,555250,128,40800,11.2,39.5,11.9,37.3,49.4,13.3,34.7,16.4,61.3,11.3,0.2,14.6,1,3.4,1.7
Barnet - Hale,00ACGJ,E05000054,18250,22.5,63.1,14.4,37.1,36,5.4,3250,40.6,71.1,81.6,85.6,95.7,4,70.7,397250,222,38590,11.3,49.2,15.4,24.1,66.9,13.6,17.9,17.8,46.8,12.2,0.3,48.8,1.2,2.6,0.8
Barnet - Hendon,00ACGK,E05000055,19300,21.5,66.5,12,34.9,32,2.8,6625,36.3,76.1,80.2,84.1,105.7,4,66.7,350000,209,38530,10.9,22.4,8.2,58.4,49,12.1,36.6,13.5,72.6,19.7,0.4,16.4,1,2.7,1.2
Barnet - High Barnet,00ACGL,E05000056,16300,18.1,64.3,17.6,40.7,41,8.3,1873.5,18.3,60.3,81.8,84.2,126.8,4,74.5,419422.5,296,43940,19.7,25.6,15.5,38.9,69.9,7.7,19.9,13.1,56.3,12.6,0.4,47.9,1.2,2.7,1.6
Barnet - Mill Hill,00ACGM,E05000057,20000,21.9,64.1,14,37.1,36,9.4,2010.6,36.1,59.3,83.6,86.7,102.9,6,70.5,520000,343,41920,19.6,35.6,11.4,33.5,64.4,12.8,20.4,14,62.8,14.7,0.2,59,1.3,2.3,1
Barnet - Oakleigh,00ACGN,E05000058,16650,19.3,63.4,17.3,39.8,39,3.3,4833.3,26.7,59.7,81,84.4,98.9,3,73.4,366000,239,41670,16.3,35.5,8.3,39.9,70.6,7.3,20.3,14.7,49.7,11.7,0.1,15.3,1.3,3.3,1
Barnet - Totteridge,00ACGP,E05000059,16900,20.2,62.7,17,39.6,39,8.8,1795.5,34.3,60.9,82.5,86.3,108.1,3,71.6,627750,182,46150,20.6,35.9,10.7,32.8,66.8,8.7,22.5,13,39.7,9.2,0.2,57.7,1.3,2.5,1.1
Barnet - Underhill,00ACGQ,E05000060,17300,19.6,63.7,16.7,39.2,39,4.6,3554.3,27.3,55.9,78.2,83.7,156.5,4,68.3,389950,219,37040,10.4,36.5,21,30,60.3,25.7,11.3,21.6,57.9,17.8,0.4,43.8,1.1,2.6,0.8
Barnet - West Finchley,00ACGR,E05000061,17500,18.6,68.2,13.1,37.5,36,2.2,7590.9,39.2,59.5,82.2,83.5,106.9,7,74.2,385000,193,42050,3.7,24.1,17.1,55,53.8,7.2,36.9,12.2,55.2,14.7,0.2,13.4,0.9,3.6,1.7
Barnet - West Hendon,00ACGS,E05000062,19250,20.6,68.2,11.2,35.2,32,3.4,5279.4,50.6,64.9,80.7,86,119.5,10,67.2,346250,158,35090,14.8,21.4,17.5,46.4,48.3,16.8,32.6,17.8,99.9,20.3,0.3,32,0.9,3.5,1.3
Barnet - Woodhouse,00ACGT,E05000063,18700,18.6,67.6,13.8,37.9,36,2.6,6846.2,37.6,50.5,81.9,84,145.9,2,72,370000,243,38220,4,25.5,22.7,47.8,57.6,11.5,28.6,15.7,69.3,15.9,0.2,19.3,1,2.9,2
